"Textile grand format";0;;1;
"Bâches grand format";0;;1;
"Structures rigides";0;;1;
"Arches rigides";0;;1;
"Arches gonflables";0;1;1;
"Structures gonflables";0;;1;
"Adhésif";0;;1;
"Parasols";0;1;;
"Panneaux signalétique";0;;1;
"banderoles";0;;1;
"totem silhouette carton mousse 80-100x200 cm";0;;;
"totem silhouette carton mousse 40-60x160 cm";0;;;
"totem silhouette recyclé  40-55x160 cm";0;;;
"totem silhouette recyclé  80-100x200 cm";0;;;
"tente imprimée";0;1;;
"personnalisation barrière optima";0;1;;
"tribunes fixes";0;;1;
"tribunes mobiles";0;;1;
"tribunes démontables";0;;1;
"podiums";0;;;1
"vestiaires sport";0;1;;1
"vestiaires industrie ";0;1;;1
"ticket vendeur";0;;1;
"borne interactive";0;;1;
"vitrine tactile";0;;1;
"visuel imprimé pour mur d'image sur mesure";0;;1;
"banderoles et baches imprimées";0;;1;
"adhésif de vitrine";0;;1;
"adhésif de sol";0;;1;
"panneaux aimantés";0;;1;
"lettrage en 3d";0;;1;
"cloisons en carton";0;;1;
"cloisons en PVC";0;;1;
"cloisons en alu imprimé";0;;1;
"rideaux personnalisés";0;;1;
"bracelet silicone";0;;;
"coque I phone";0;;;
;0;;;
;0;;;
;0;;;
"structures sur mesure";0;;1;
"arches rigides ";0;;1;
"palissade de chantier";0;;1;
"panneaux signalétique";0;;1;
"adhésifs";0;;1;
"bâche grand format";0;;1;
"textile grand format";0;;1;
"Banderole sur mesure";0;;1;
"parasols personnalisé ";0;1;;
"Ecusson personnalisé";3174;1;;
"Guirlandes des pays à composer";5782;;;1
"Drapeau de golf personnalisé";10226;1;;
"Drapeau d'intérieur au logo";10230;1;;
"bracelet de sécurité personnalisé frais de logo";18667;1;;
"Ruban de balisage";29534;1;;
"dossard à usage unique";30558;1;;
"ruban d'inauguration personnalisé ";34761;1;;
"dossard simple en textile simple";39252;1;;
"écharpe tissu ";46330;1;;
"ballons";46522;1;;
"Visuel pour support téléscopique textile 240*120 M1";48486;1;;
"écharpes personnalisées imprimées";49898;1;;
"plaque et panneau de rue tradition";50078;1;;
"plaque et panneau de rue tradition";50080;1;;
"plaque et panneau de rue harmoricolor";50207;1;;
"plaque et panneau de rue harmoricolor";50211;1;;
"plaque et panneau de rue Metalu";50480;1;;
"plaque et panneau de rue Metalu";50790;1;;
"plaque et panneau de rue Metalu";50967;1;;
"plaque et panneau de rue harmoricolor";50967;1;;
"plaque et panneau de rue Metalu";51054;1;;
"plaque et panneau de rue harmoricolor";51054;1;;
"plaque et panneau de rue Metalu";51055;1;;
"plaque et panneau de rue harmoricolor";51055;1;;
"numéro de rue harmoricolor";51060;1;;
"numéro de rue métalu";56479;1;;
"numéro de rue métalu";57086;1;;
"écharpe de miss imprimée";69274;1;;
"chapeaux et perruques";69274;;1;
"écharpes personnalisées imprimées";69274;1;;
"Guirlandes des pays à composer";69737;;;1
"Barrière evenementielle horizontale laquée";69877;1;;
"Barrière évènementielle";69877;1;;
"drapeau de voiture prestige ";70053;1;;
"Barrière evenementielle horizontale galvanisée et laquée";70123;1;;
"Barrière évènementielle";70123;1;;
"brassard";70976;1;;
"brassard personnalisé ";70976;1;;
"Totem double face Sextan";72554;1;;
"Stand parapluie courbe M (kit 3*3 m)";72590;1;;
"Stand parapluie courbe L (kit 4*4 m)";72591;1;;
"bangs tubs";74740;1;1;
"Kakémono pour support budget PVC M1 160*60cm";75072;1;;
"Kakémono pour Caméléon 205*85cm en PVC classé M1";75074;1;;
"kakémono Héron 1 face PVC M1 180*60cm";75381;1;;
"Kakémono Pelican 160*45cm 1 face en PVC classé M1";75390;1;;
"Europavillon personnalisé";75511;1;;
"tissu polyester uni (pop up) 3x3 m";77427;1;;1
"tissu polyester uni (pop up) 3x4,5m";77428;1;;
"tissu polyester uni (pop up) 3x6m";77429;1;;
"écharpe de miss brodée ";77554;1;;
"chapeaux et perruques";77554;;1;
"écharpes personnalisées imprimées";77554;1;;
"rideau pour poteau MKII";78363;1;;
"carré événementiel";79450;1;;
"carré événementiel";79451;1;;
"Personnalisation comptoir démo standard";80256;1;;
"Personnalisation comptoir démo budget blanc";80256;1;;
"cadre double face A1";80351;1;;
"Lot de 2 bâches PVC identiques";80524;1;;
"Pavillon pour playa 2m 180x46";80627;1;;
"Plipop";80688;1;;
"Barrière plipop";80688;1;;
"Barrière evenementielle verticale laquée";81365;1;;
"totem évènementiel";81365;1;;
"Barrière évènementielle";81365;1;;
"Barrière verticale laquée";81635;1;;
"Habillage de barrière PVC";81739;1;;
"habillage de barrière PVC";81739;1;;
"Moquette texfloor 1 ";82553;1;;
"carré événementiel";82732;1;;
"carré événementiel";82733;1;;
"kakémonos potence";83098;1;;
"Event flag shark taille S ";83346;1;;
"Event flag shark taille M";83347;1;;
"Event flag shark taille L";83348;1;;
"drapeau de supporters personnalisé ";83778;1;;
"rideau pour kit support ";83802;1;;
"tente lumistar";84079;1;;
"Kakémono wing 200*80cm PVC M1";84137;1;;
"Lot de 2 bâches PVC différentes";84138;1;;
"Visuel imprimé pour mur d'image itinérant 240*240 cm";84159;1;;
"Visuel imprimé pour mur d'image itinérant 240*360 cm";84160;1;;
"Visuel imprimé pour mur d'image itinérant 200*240 cm";84163;1;;
"Visuel imprimé pour mur d'image itinérant 200*360 cm";84164;1;;
"Visuel imprimé pour mur d'image itinérant 200*480 cm";84165;1;;
"mur d'image seul";84175;;;
"visuel pour colonne suspendue ";84258;1;;
"Adhésif au sol intérieur  durée de 3 mois";84336;;1;
"Event flag playa taille S";84349;1;;
"Event flag playa taille M";84350;1;;
"Event flag playa taille L";84351;1;;
"Event flag goutte d'eau taille S";84353;1;;
"Event flag goutte d'eau taille M";84354;1;;
"Event flag goutte d'eau taille L";84355;1;;
"fanions personnalisés 1 face 18*27cm";84369;1;;
"fanions personnalisés 2 faces 18*27cm";84370;1;;
"fanions personnalisés 1 face 20*30cm";84371;1;;
"fanions personnalisés 2 faces 20*30cm";84372;1;;
"fanions personnalisés 1 face 28*40cm";84375;1;;
"fanions personnalisés 2 faces 28*40cm";84377;1;;
"Banderole mât travers de rue";85541;1;;
"poteau MKIII sangle large";87348;1;;
"Nappe de table de conférence";87754;;1;
"Impression totem illuminé 87656";87802;1;;
"Chevalet";87809;1;;
"Chevalet";87810;1;;
"Tapis de sol lavable différentes dimensions";87840;;;
"Moquette texfloor 10";87841;;1;
"Adhésif au sol intérieur durée de 6 mois";87937;;1;
"écharpes personnalisées imprimées";89016;1;;
"bandanas";89587;1;;
"Visuel textile pour stand parapluie 2,24*2,90cm";89811;1;;
"Visuel textile pour stand parapluie 2,24*3,60cm";89878;1;;
"Visuel pour support téléscopique textile 240*240 M1";89885;1;;
"Visuel pour support téléscopique VPC opaque 240*120 recto/verso identiques";89886;1;;
"Visuel pour support téléscopique VPC opaque 240*120 recto/verso différents";89887;1;;
"Barrière evenementielle verticale galvanisée et laquée";90081;1;;
"Barrière verticale laquée galvanisée";90081;1;;
"totem évènementiel";90081;1;;
"Barrière évènementielle";90081;1;;
"écharpes personnalisées imprimées";90082;1;;
"écharpes personnalisées imprimées";90083;1;;
"écharpes personnalisées brodées";90094;1;;
"dossard de compétition en toile PVC";90237;;1;
"dossard de compétition en toile PVC";90520;;1;
"dossard de compétition en toile PVC";90521;;1;
"dossard de compétition en toile PVC";90525;;1;
"dossard simple en textile double";90528;1;;
"dossard en lycra";90529;1;;
"tissu polyester uni (titan)";90560;1;;1
"bâche imprimée";90984;1;1;
"coussin personnalisé";91028;1;;
"coussin personnalisé";91029;1;;
"coussins";91030;;1;
"coussin personnalisé";91030;1;;
"coussin personnalisé";91031;1;;
"Gulliver visuel 3*1m support PVC M1 (unité)";91037;1;;
"Gulliver visuel 3*1m support PVC M1 (lot de 2)";91039;1;;
"ruban d'inauguration personnalisé ";91053;1;;
"ruban d'inauguration personnalisé ";91057;1;;
"ruban d'inauguration personnalisé ";91058;1;;
"Totem ecodesign classique";91109;1;;
"magnets";91124;1;;
"magnets";91125;1;1;
"Habillage de barrière lycra";91131;1;;
"Habillage de barrière extensible";91131;1;;
"Habillage de barrière sécuristar";91132;1;;
"Habillage de barrière securistar PVC";91132;1;;
"Panneau alvéolaire recto 75 x 190 cm";91133;1;;
"Habillage de barrière rigide";91133;1;;
"Panneau alvéolaire recto verso 70 x 190 cm";91134;1;;
"Habillage de barrière rigide";91134;1;;
"bracelet de sécurité personnalisé";91138;1;;
"tour de cou";91834;1;1;
"tour de cou";91835;1;1;
"bandanas de tête ";91837;1;;
"Linoleum imprimé";91931;1;;
"Totem ecodesign triface";92092;1;;
"drapeau de voiture prestige ";92211;1;;
"drapeau de voiture prestige ";92474;1;;
"Drapeau de table personnalisé";92480;1;;
"bas de palette";92504;1;;
"Atoutem 1,5 x 1 m";93129;1;;
"Atoutem 3 x 1 m";93130;1;;
"Atoutem 6 x 1 m";93131;1;;
"drapeau papier personnalisé";93323;1;;
"badge carré";93816;1;;
"drapeau mural";93825;1;;
"drapeau vitrail";93839;1;;
"Visuel Déco200 110x110 cm pour profilés muraux";93875;1;;
"Drapeau de voiture";94092;1;;
"drapeau de voiture";94092;1;;
"badge rond";94098;1;;
"drapeau papier personnalisé";94099;1;;
"drapeau promotionnels en plastique";94149;1;;
"drapeau promotionnels en plastique";94150;1;;
"drapeau à main personnalisé";94151;1;;
"drapeau à main personnalisé";94152;1;;
"Drapeau de vélo";94234;1;;
"Lot de 4 visuels pour totem tower";94245;1;;
"drapeau papier personnalisé";94247;1;;
"drapeau papier personnalisé";94248;1;;
"drapeau papier personnalisé";94249;1;;
"drapeau papier personnalisé";94250;1;;
"poster textile";94260;1;;
"tapis de sol longway";94275;1;;
"Dalles plombantes 50*50cm";94294;1;;
"Totem ecodesign simple 4 faces";94345;1;;
"Totem ecodesign simple 3 faces";94346;1;;
"Totem 195 x198 cm";94349;1;;
"collecteur de piles perso";94404;1;;
"Barrière Cadre A";94510;1;;
"Visuel pour barrière cadre A";94511;1;;
"Barrière Cadre A";94511;1;;
"Visuel 200*100cm pour kakémono woody";94626;1;;
"Personnalisation totem triface";94629;1;;
"Visuel M1 tissu 82*92 pour comptoir d'accueil Woody";94643;1;;
"bandes adhésives";94645;1;1;
"bobinots papier";94649;1;;
"bobinots intissé";94653;1;;
"bobinots adhésif brillant";94654;1;;
"bobinots polypropilène";94655;1;;
"Visuel Déco200 60*40 pour profilés muraux";94677;1;;
"Visuel Déco200 80x60 pour profilés muraux";94678;1;;
"Visuel Déco200 120*80 pour profilés muraux";94679;1;;
"Visuel Déco200 100x100 cm pour profilés muraux";94680;1;;
"Visuel Déco200 120x100 pour profilés muraux";94682;1;;
"Visuel Déco200 200x145 pour profilés muraux";94685;1;;
"Visuel Déco200 250x200 pour profilés muraux";94688;1;;
"Lot de 2 visuels Déco200 145*100 recto-verso pour profilés sur pied";94692;1;;
"Lot de 2 visuels Déco200 100*200 pour profilés sur pied";94693;1;;
"Lot de 2 visuels Déco200 200*145 pour profilés sur pied";94694;1;;
"Lot de 2 visuels Déco200 200*145 recto-verso pour profilés sur pied";94694;1;;
"Tissu rétroéclairé 145*100";94703;1;;
"Tissu rétro-éclairé 300*145";94710;1;;
"Totem 235 x 52 cm";94742;1;;
"Totem 235 x143 cm";94743;1;;
"Totem sur mesure";94744;;1;
"event flag goutte d'eau recto-verso taille S";95653;1;;
"event flag goutte d'eau recto-verso taille M";95654;1;;
"event flag goutte d'eau recto-verso taille L";95658;1;;
"Event flag playa recto-verso taille S";95659;1;;
"Event flag playa recto-verso taille M";95660;1;;
"Event flag playa recto-verso taille L";95661;1;;
"tente pop up ouverte personnalisation";95954;1;;
"banderole multi expo personnalisée sur mesure 42x120 cm R/V";96408;;1;
"banderoles avec verclos  (tissu)";96426;1;;
"Moquette texfloor 5";96487;1;;
"Stand écodesign 10 m²";96505;1;;
" adhésif de miroir";96506;;1;
"coussin personnalisé";96507;;;
"rideaux de cabine";96508;;;
"tente gonflable";96510;1;;
"visuel kakémono 90° 60x160cm";96557;1;;
"goodies gonflables";96565;;;
"porte gobelets";96566;1;;
"tableau a craie";96567;1;;
"chevalets de tables";96568;1;;
"stop rayon";96569;1;;
"Flycase stand parapluie courbe + visuel ";98473;1;;
"Kakémono Elephant, 2 bâches PVC M1 200*80cm";98554;1;;
"Bâche PVC classée M1 90*125cm pour kakémono caiman";98555;1;;
"Bâche classée M1 80*200cm pour kakémono félin ";98558;1;;
"Nappe ronde tombé simple";98677;;1;
"Nappe ronde tombé droit";98678;;1;
"Nappe rectangulaire tombé simple";98679;;1;
"Nappe rectangulaire tombé droit";98680;;1;
"Chemin de table";98681;;1;
"cape personnalisée pour supporters";98688;1;;
"poncho simple en plastique ";98689;1;;
"poncho à capuche en plastique";98690;1;;
"poncho avec manches en tissu";98691;1;;
"poncho simple en tissu";98692;1;;
"Visuel pour comptoir pop up";98693;1;;
"pavillon personnalisé Ecofix 60 x 90 cm";98694;1;;
"Pavillon personnalisé";98694;1;;
"pavillon personnalisé Ecofix 100 x 150 cm";98695;1;;
"Pavillon personnalisé";98695;1;;
"pavillon personnalisé Ecofix 120 x 180 cm";98696;1;;
"Pavillon personnalisé";98696;1;;
"pavillon personnalisé Ecofix 150 x 225 cm";98697;1;;
"Pavillon personnalisé";98697;1;;
"Bannière simple Ecofix 125 x 50 cm";98698;1;;
"Bannières personnalisées";98698;1;;
"Bannière simple Ecofix 200 x 80 cm";98699;1;;
"Bannières personnalisées";98699;1;;
"Bannière simple Ecofix 300 x 95 cm";98700;1;;
"Bannières personnalisées";98700;1;;
"Event flag goutte d'eau taille XL";98701;1;;
"Event flag palm beach";98701;1;;
"Dalles événementiel 100*100";98701;1;;
"Event flag playa taille XL";98702;1;;
"Event flag shark taille XL";98703;1;;
"T-shirt personnalisé";98717;;1;
"sac à gilet";98718;1;;
"polo personnalisé";98719;;1;
"chemise";98720;;1;
"chemise manches longues";98720;1;;
"veste polaire";98721;;1;
"blouson";98722;;1;
"banderoles avec verclos  (PVC)";98723;1;;
"gilet jaune de sécurité";98724;;1;
"accréditation";98726;1;;
"badge aimanté";98728;1;;
"badge changement de nom";98729;1;;
"écharpe imprimée ";98730;1;;
"écharpe brodée ";98731;1;;
"casquette";98733;1;1;
"main géante";98736;1;;
"corne de brume";98737;;1;
"sifflet";98738;1;1;
"éventail";98740;1;1;
"luge personnalisée";98741;1;1;
"sacs tissu";98745;;1;
"sacs intissé";98746;;1;
"sacs polyethyléne";98747;;1;
"parapluies";98748;1;1;
"draps de bain";98749;1;1;
"microfibres";98750;;1;
"Kakémono pour support budget tissu LS 160*60cm";98753;1;;
"serviette de golf";98754;1;1;
"Gulliver, visuel 3*1m tissu LS avec dos gris (unité)";98755;1;;
"Gulliver, visuel 3*1m tissu LS avec dos gris (lot de 2)";98756;1;;
"Kakémono Pelican 160*45cm 1 face en tissu LS enduit sans PVC";98757;1;;
"Kakémono elephant, 2 tissus enduits sans PVC 200*80cm";98758;1;;
"Kakémono Héron 1 face tissu LS 180*60cm";98759;1;;
"Tissu LS enduit sans PVC 90*125 cm pour kakémono caiman";98761;1;;
"Tissu LS enduit sans PVC 80*200 cm";98764;1;;
"Kakémono pour Caméléon 205*85cm en tissu enduit sans PVC";98766;1;;
"Lot de 2 tissus LS identiques";98767;1;;
"Lot de 2 tissus LS différents";98768;1;;
"Kakémono wing 200*80cm tissu LS";98770;1;;
"Hand it";98774;1;;
"Hand it";98775;1;;
"Hand it";98776;1;;
"Tapis multi-usage";98779;1;;
"Tapis de souris ";98780;1;;
"Tapis de bar";98781;1;;
"Tapis basic 60*40 ";98782;;;
"Tapis basic 60*80";98783;;;
"Tapis basic 80*120";98784;;;
"Tapis basic 90*150";98785;;;
"Tapis de sol dos recyclé";98786;;1;
"Tapis exterieur 75*85cm";98787;1;;
"Tapis extérieur 85*150 cm";98788;1;;
"Tapis extérieur 115*180 cm";98789;1;;
"tente mini toiture imprimée";99193;1;;
"comptoir deluxe avec jupe + kakémono";99930;1;;
"comptoir double drums";99931;1;;
"comptoir drums 400x400 m avec jupe";99932;1;;
"comptoir drums 800x400 m avec jupe";99933;1;;
"comptoir drums 1200x400 m avec jupe";99934;1;;
"comptoir drums 1000x600 m avec jupe";99935;1;;
"rideau poteau essentiel R/V 1m";99943;1;;
"rideau poteau essentiel R/V 2m";99944;1;;
"kakémono recto verso pour kit easylight flag";99951;1;;
"paravent recto verso";99960;;1;
"sweat a capuche";99963;1;;
"Cache antivol lycra";99976;;;1
"Cache antivol lycra M1";99978;;;1
"clé usb";99989;;1;
"tapis de souris";99990;;1;
"bonbons";99991;1;;
"gobelet";99992;1;;
"porte clé";99993;1;;
"bloc note";99994;1;;
"etui PC";100001;1;;
"sacoche bicolore";100002;1;;
"stylo tour de cou";100003;1;;
"conférencier";100004;1;;
"colerette pour bouteille";100005;1;;
"sac coton";100006;1;;
"sac papier";100007;1;;
"sac nylon";100009;1;;
"kakémono M1 pour kit mobile flag";100013;1;;
"totem agile ";100015;1;;
"rideau pour support rollerdesigns";100016;1;;
"chaussette de rétroviseur";100020;1;;
"tablier";100034;1;;
"coupe vent ";100035;1;;
"stickers muraux sur mesure";956506;;;
"mobilier hexa";1000029;1;;
"mobilier light up club";1000030;1;;
"mobilier light cube 2 personnes";1000031;1;;
"Visuel pour support téléscopique  ";;;1;
